Index,Date,BtcPrice,SpPrice
1,01-01-2021,29359.9,3756.07
2,02-01-2021,32193.3,3756.07
3,03-01-2021,32958.9,3756.07
4,04-01-2021,32022.6,3700.65
5,05-01-2021,33991.5,3726.86
6,06-01-2021,36793.2,3748.14
7,07-01-2021,39460.2,3803.79
8,08-01-2021,40599.3,3824.68
9,09-01-2021,40151.9,3824.68
10,10-01-2021,38192.2,3824.68
11,11-01-2021,35544.3,3799.61
12,12-01-2021,34076.1,3801.19
13,01-02-2021,33515.7,3773.86
14,02-02-2021,35485.2,3826.31
15,03-02-2021,37646.8,3830.17
16,04-02-2021,36982.1,3871.74
17,05-02-2021,38297.6,3886.83
18,06-02-2021,39256.6,3886.83
19,07-02-2021,38852.9,3886.83
20,08-02-2021,46395.7,3915.59
21,09-02-2021,46508.6,3911.23
22,10-02-2021,44836,3909.88
23,11-02-2021,47990.7,3916.38
24,12-02-2021,47371.7,3934.83
25,01-03-2021,49595.5,3901.82
26,02-03-2021,48424.2,3870.29
27,03-03-2021,50395.1,3819.72
28,04-03-2021,48428,3768.47
29,05-03-2021,48792.5,3841.94
30,06-03-2021,48855.6,3841.94
31,07-03-2021,50982.3,3841.94
32,08-03-2021,52311,3821.35
33,09-03-2021,54879,3875.44
34,10-03-2021,55851.9,3898.81
35,11-03-2021,57799.5,3939.34
36,12-03-2021,57265.1,3943.34
37,01-04-2021,58718.3,4019.87
38,02-04-2021,58977.3,4019.87
39,03-04-2021,57059.9,4019.87
40,04-04-2021,58199.9,4019.87
41,05-04-2021,58993.4,4077.91
42,06-04-2021,57996.3,4073.94
43,07-04-2021,55948.7,4079.95
44,08-04-2021,58077.4,4097.17
45,09-04-2021,58118.7,4128.8
46,10-04-2021,59748.4,4128.8
47,11-04-2021,59978.7,4128.8
48,12-04-2021,59863.8,4127.99
49,01-05-2021,57807.1,4181.17
50,02-05-2021,56603.8,4181.17
51,03-05-2021,57169.8,4192.66
52,04-05-2021,53741.5,4164.66
53,05-05-2021,57441.3,4167.59
54,06-05-2021,56405.4,4201.62
55,07-05-2021,57337.2,4232.6
56,08-05-2021,58840.1,4232.6
57,09-05-2021,58238.3,4232.6
58,10-05-2021,55848.9,4188.43
59,11-05-2021,56695.7,4152.1
60,12-05-2021,49384.2,4063.04
61,01-06-2021,36687.6,4202.04
62,02-06-2021,37555.8,4208.12
63,03-06-2021,39187.3,4192.85
64,04-06-2021,36851.3,4229.89
65,05-06-2021,35520,4229.89
66,06-06-2021,35815.4,4229.89
67,07-06-2021,33578,4226.52
68,08-06-2021,33382.9,4227.26
69,09-06-2021,37332.2,4219.55
70,10-06-2021,36649.4,4239.18
71,11-06-2021,37314.6,4247.44
72,12-06-2021,35467.5,4247.44
73,01-07-2021,33543.6,4319.94
74,02-07-2021,33813.4,4352.34
75,03-07-2021,34742.8,4352.34
76,04-07-2021,35298.2,4352.34
77,05-07-2021,33687.8,4352.34
78,06-07-2021,34225.6,4343.54
79,07-07-2021,33867.8,4358.13
80,08-07-2021,32866.3,4320.82
81,09-07-2021,33797.4,4369.55
82,10-07-2021,33510.6,4369.55
83,11-07-2021,34227.7,4369.55
84,12-07-2021,33113,4384.63
85,01-08-2021,39878.3,4395.26
86,02-08-2021,39168.4,4387.11
87,03-08-2021,38130.3,4423.15
88,04-08-2021,39736.9,4402.68
89,05-08-2021,40867.2,4429.1
90,06-08-2021,42795.4,4436.52
91,07-08-2021,44614.2,4436.52
92,08-08-2021,43792.8,4436.52
93,09-08-2021,46284.3,4432.35
94,10-08-2021,45593.8,4436.75
95,11-08-2021,45564.3,4447.7
96,12-08-2021,44403.4,4460.84
97,01-09-2021,48819.4,4524.09
98,02-09-2021,49274.3,4536.95
99,03-09-2021,49999,4535.43
100,04-09-2021,49918.4,4535.43
101,05-09-2021,51768.6,4535.43
102,06-09-2021,52672.1,4535.43
103,07-09-2021,46779.6,4520.03
104,08-09-2021,46061.4,4514.07
105,09-09-2021,46385.6,4493.28
106,10-09-2021,44842.8,4458.58
107,11-09-2021,45161.9,4458.58
108,12-09-2021,46062.3,4458.58
109,01-10-2021,48146,4357.05
110,02-10-2021,47666.9,4357.05
111,03-10-2021,48200.1,4357.05
112,04-10-2021,49227.3,4300.46
113,05-10-2021,51469.3,4345.72
114,06-10-2021,55323.2,4363.55
115,07-10-2021,53783.9,4399.76
116,08-10-2021,53914.7,4391.36
117,09-10-2021,54942.5,4391.36
118,10-10-2021,54687.7,4391.36
119,11-10-2021,57477.3,4361.19
120,12-10-2021,56015.9,4350.64
121,01-11-2021,60915.3,4613.67
122,02-11-2021,63221.7,4630.65
123,03-11-2021,62918.5,4660.57
124,04-11-2021,61412.6,4680.06
125,05-11-2021,60974.3,4697.53
126,06-11-2021,61483.9,4697.53
127,07-11-2021,63273.2,4697.53
128,08-11-2021,67527.9,4701.7
129,09-11-2021,66904.4,4685.25
130,10-11-2021,64932.6,4646.71
131,11-11-2021,64806.7,4649.27
132,12-11-2021,64134.5,4682.85
133,01-12-2021,57210.3,4513.04
134,02-12-2021,56496,4577.1
135,03-12-2021,53631.5,4538.43
136,04-12-2021,49195.2,4538.43
137,05-12-2021,49405.5,4538.43
138,06-12-2021,50562.1,4591.67
139,07-12-2021,50595.2,4686.75
140,08-12-2021,50473.9,4701.21
141,09-12-2021,47596.6,4667.45
142,10-12-2021,47137.2,4712.02
143,11-12-2021,49314.5,4712.02
144,12-12-2021,50081,4712.02
